city,air_quality_index,co,no2,o2,particulate_matter_10,particulate_matter_25,so2,date,time
Sydney,13,21.6,8.0,24.2,14.0,1.0,8.0,2024-04-22,07:00:00
Sydney,17,21.6,8.0,28.5,15.0,4.0,8.0,2024-04-22,06:00:00
Sydney,37,121.0,50.0,21.6,13.0,9.0,8.0,2024-04-22,05:00:00
Sydney,25,121.0,50.0,19.9,12.0,6.0,8.0,2024-04-22,04:00:00
Sydney,25,232.0,79.0,14.7,15.0,6.0,8.0,2024-04-22,03:00:00
Sydney,26,195.0,79.0,13.7,20.8,6.17,8.0,2024-04-22,02:00:00
Sydney,37,232.0,150.0,9.5,23.0,9.0,8.0,2024-04-22,01:00:00
Sydney,30,121.0,79.0,11.7,32.5,6.5,8.0,2024-04-22,00:00:00
Sydney,44,87.9,129.0,1.3,47.5,3.5,8.0,2024-04-21,23:00:00
Sydney,21,54.7,93.0,0.9,18.0,5.0,8.0,2024-04-21,22:00:00
Sydney,21,21.6,58.0,0.9,10.0,5.0,1.0,2024-04-21,21:00:00
Sydney,21,91.7,63.8,1.0,10.0,5.17,3.3,2024-04-21,20:00:00
Sydney,37,343.0,79.0,1.3,13.0,9.0,8.0,2024-04-21,19:00:00
Sydney,23,232.0,75.5,1.3,10.0,5.5,8.0,2024-04-21,18:00:00
Sydney,25,343.0,122.0,0.9,11.0,6.0,8.0,2024-04-21,17:00:00
Sydney,25,121.0,143.0,0.9,13.0,6.0,8.0,2024-04-21,16:00:00
Sydney,50,21.6,0.0,51.0,20.0,12.0,1.0,2024-04-21,15:00:00
Sydney,29,232.0,129.0,0.9,13.0,7.0,8.0,2024-04-21,14:00:00
Sydney,21,87.9,58.0,5.2,10.0,5.0,8.0,2024-04-21,13:00:00
Sydney,33,121.0,100.0,6.1,20.0,8.0,8.0,2024-04-21,12:00:00
Sydney,21,121.0,93.0,5.2,14.0,5.0,8.0,2024-04-21,11:00:00
Sydney,21,121.0,93.0,6.9,12.0,5.0,8.0,2024-04-21,10:00:00
Sydney,42,22.8,0.0,50.0,18.0,10.0,1.0,2024-04-21,09:00:00
Sydney,25,121.0,58.0,15.7,14.0,6.0,8.0,2024-04-21,08:00:00
Sydney,12,22.8,8.0,22.5,13.0,3.0,8.0,2024-04-21,07:00:00
Sydney,23,22.8,8.0,24.7,13.5,5.5,8.0,2024-04-21,06:00:00
Sydney,19,55.5,15.0,24.3,14.5,4.5,8.0,2024-04-21,05:00:00
Sydney,13,88.3,22.0,23.4,14.0,3.0,8.0,2024-04-21,04:00:00
Sydney,25,121.0,29.0,15.7,17.0,6.0,8.0,2024-04-21,03:00:00
Sydney,25,121.0,15.0,23.4,15.0,6.0,8.0,2024-04-21,02:00:00
Sydney,29,121.0,8.0,19.9,17.0,7.0,8.0,2024-04-21,01:00:00
Sydney,21,22.8,8.0,20.8,20.0,5.0,8.0,2024-04-21,00:00:00
Sydney,24,22.8,8.0,19.9,26.0,3.0,8.0,2024-04-20,23:00:00
Sydney,27,121.0,25.5,10.5,12.5,6.5,8.0,2024-04-20,22:00:00
Anchorage,38,54.3,2.0,82.0,6.0,4.0,3.0,2024-04-23,21:00:00
Anchorage,164,112.8,3.3,80.3,66.0,66.0,2.3,2024-04-23,20:00:00
Anchorage,81,171.4,4.7,78.7,47.7,26.5,1.7,2024-04-23,19:00:00
Anchorage,52,230.0,6.0,77.0,52.5,13.0,1.0,2024-04-23,18:00:00
Anchorage,226,536.7,6.7,74.3,226.0,226.0,1.0,2024-04-23,17:00:00
Anchorage,148,843.3,7.3,71.7,53.0,53.0,1.0,2024-04-23,16:00:00
Anchorage,123,1150.0,8.0,69.0,98.0,44.0,1.0,2024-04-23,15:00:00
Anchorage,94,690.0,9.0,67.0,54.5,32.33,1.0,2024-04-23,14:00:00
Anchorage,104,430.4,10.0,65.0,37.0,37.0,1.0,2024-04-23,13:00:00
Anchorage,139,70.6,11.0,63.0,50.0,50.0,1.0,2024-04-23,12:00:00
Anchorage,139,75.5,13.7,60.0,50.0,50.0,1.3,2024-04-23,11:00:00
Anchorage,85,80.3,16.3,57.0,40.8,28.0,1.7,2024-04-23,10:00:00
Anchorage,61,85.2,19.0,54.0,36.3,17.0,2.0,2024-04-23,09:00:00
Anchorage,76,345.0,18.3,56.0,41.3,24.0,2.0,2024-04-23,08:00:00
Anchorage,164,183.1,17.7,58.0,66.0,66.0,2.0,2024-04-23,07:00:00
Anchorage,72,232.0,17.0,60.0,36.3,22.0,2.0,2024-04-23,06:00:00
Anchorage,72,173.5,12.0,67.0,22.0,22.0,2.0,2024-04-23,05:00:00
Anchorage,134,115.1,7.0,74.0,48.0,48.0,2.0,2024-04-23,04:00:00
Anchorage,37,56.6,2.0,81.0,7.0,4.0,2.0,2024-04-23,03:00:00
Anchorage,51,230.0,1.7,82.0,27.8,12.67,2.0,2024-04-23,02:00:00
Anchorage,59,230.0,1.3,83.0,30.8,16.0,2.0,2024-04-23,01:00:00
Anchorage,76,230.0,1.0,84.0,36.0,24.0,2.0,2024-04-23,00:00:00
Anchorage,145,230.0,1.0,84.3,52.0,52.0,2.3,2024-04-22,23:00:00
Anchorage,145,230.0,1.0,84.7,52.0,52.0,2.7,2024-04-22,22:00:00
Anchorage,62,230.0,1.0,85.0,28.0,17.67,3.0,2024-04-22,21:00:00
Anchorage,66,230.0,2.0,84.0,38.0,19.33,3.0,2024-04-22,20:00:00
Anchorage,63,116.7,3.0,83.0,27.5,18.0,3.0,2024-04-22,19:00:00
Anchorage,61,60.1,4.0,82.0,29.3,17.0,3.0,2024-04-22,18:00:00
Anchorage,42,230.0,5.0,80.3,35.5,10.0,2.3,2024-04-22,17:00:00
Anchorage,139,403.4,6.0,78.7,50.0,50.0,1.7,2024-04-22,16:00:00
Anchorage,153,575.0,7.0,77.0,81.3,55.0,1.0,2024-04-22,15:00:00
Anchorage,91,575.0,8.3,76.0,43.8,31.0,1.7,2024-04-22,14:00:00
Anchorage,49,230.0,9.7,75.0,17.3,11.67,2.3,2024-04-22,13:00:00
Anchorage,40,65.4,11.0,74.0,13.3,9.5,3.0,2024-04-22,12:00:00
Anchorage,34,230.0,13.0,72.7,29.5,3.0,3.0,2024-04-22,11:00:00
Anchorage,148,72.8,15.0,71.3,53.0,53.0,3.0,2024-04-22,10:00:00
Anchorage,36,76.5,17.0,70.0,13.7,8.67,3.0,2024-04-22,09:00:00
Anchorage,53,345.0,18.3,69.7,32.5,13.33,3.3,2024-04-22,08:00:00
Anchorage,59,345.0,19.7,69.3,30.3,16.33,3.7,2024-04-22,07:00:00
Anchorage,121,84.0,21.0,69.0,43.0,43.0,4.0,2024-04-22,06:00:00
Anchorage,183,171.0,16.0,76.7,80.0,80.0,4.0,2024-04-22,05:00:00
Anchorage,183,258.0,11.0,84.3,80.0,80.0,4.0,2024-04-22,04:00:00
Anchorage,87,345.0,6.0,92.0,48.0,29.33,4.0,2024-04-22,03:00:00
Anchorage,82,345.0,4.3,95.7,54.0,26.67,5.3,2024-04-22,02:00:00
Anchorage,86,345.0,2.7,99.3,59.0,28.67,6.7,2024-04-22,01:00:00
Anchorage,96,230.0,1.0,103.0,48.3,33.5,8.0,2024-04-22,00:00:00
Anchorage,188,304.7,1.3,102.0,84.0,84.0,10.3,2024-04-21,23:00:00
Anchorage,188,379.3,1.7,101.0,84.0,84.0,12.7,2024-04-21,22:00:00
Anchorage,66,454.0,2.0,100.0,35.0,19.33,15.0,2024-04-21,21:00:00
Anchorage,77,345.0,4.0,94.3,45.7,24.67,12.7,2024-04-21,20:00:00
Anchorage,62,675.0,6.0,88.7,43.3,17.67,10.3,2024-04-21,19:00:00
Anchorage,95,786.0,8.0,83.0,58.3,32.67,8.0,2024-04-21,18:00:00
Anchorage,177,749.0,7.3,84.0,76.0,76.0,7.0,2024-04-21,17:00:00
Anchorage,177,712.0,6.7,85.0,76.0,76.0,6.0,2024-04-21,16:00:00
Anchorage,94,675.0,6.0,86.0,49.3,32.33,5.0,2024-04-21,15:00:00
Anchorage,59,805.0,7.7,83.3,29.3,16.0,4.7,2024-04-21,14:00:00
Anchorage,56,786.0,9.3,80.7,28.0,14.67,4.3,2024-04-21,13:00:00
Anchorage,51,805.0,11.0,78.0,38.3,12.33,4.0,2024-04-21,12:00:00
Anchorage,74,897.0,12.7,77.3,102.0,15.0,4.3,2024-04-21,11:00:00
Anchorage,81,897.0,14.3,76.7,116.0,14.0,4.7,2024-04-21,10:00:00
Anchorage,79,84.0,16.0,76.0,111.3,16.5,5.0,2024-04-21,09:00:00
Anchorage,148,920.0,15.0,78.7,103.0,53.0,5.3,2024-04-21,08:00:00
Anchorage,165,1035.0,14.0,81.3,144.5,66.67,5.7,2024-04-21,07:00:00
Anchorage,53,343.0,13.0,84.0,60.0,6.0,6.0,2024-04-21,06:00:00
Anchorage,153,305.3,9.7,89.3,58.0,58.0,5.7,2024-04-21,05:00:00
Anchorage,150,267.7,6.3,94.7,54.0,54.0,5.3,2024-04-21,04:00:00
Anchorage,116,230.0,3.0,100.0,68.8,41.33,5.0,2024-04-21,03:00:00
Anchorage,114,230.0,2.3,101.0,62.0,40.67,5.0,2024-04-21,02:00:00
Anchorage,91,230.0,1.7,102.0,51.0,31.0,5.0,2024-04-21,01:00:00
Anchorage,72,230.0,1.0,103.0,37.5,22.33,5.0,2024-04-21,00:00:00
Anchorage,164,174.7,1.3,102.0,66.0,66.0,4.3,2024-04-20,23:00:00
Anchorage,167,119.5,1.7,101.0,68.0,68.0,3.7,2024-04-20,22:00:00
Mexico City,84,71.2,3.0,147.0,16.0,11.0,22.0,2024-04-23,21:00:00
Mexico City,77,1068.5,109.0,64.4,70.0,24.5,23.5,2024-04-23,20:00:00
Mexico City,59,323.0,3.0,63.0,43.0,16.0,21.0,2024-04-23,19:00:00
Mexico City,59,333.0,3.0,60.6,40.0,16.0,22.0,2024-04-23,18:00:00
Mexico City,63,353.0,9.0,42.7,36.0,18.0,23.0,2024-04-23,17:00:00
Mexico City,46,343.0,15.0,36.2,41.0,11.0,24.0,2024-04-23,16:00:00
Mexico City,102,146.5,21.0,121.0,53.0,36.0,90.0,2024-04-23,15:00:00
Mexico City,52,575.0,77.7,19.8,43.0,13.0,19.0,2024-04-23,14:00:00
Mexico City,90,1209.5,191.0,12.5,40.5,30.5,14.0,2024-04-23,13:00:00
Mexico City,85,1043.5,191.0,16.0,41.0,28.0,14.0,2024-04-23,12:00:00
Mexico City,65,222.0,143.3,30.3,28.0,19.0,15.0,2024-04-23,11:00:00
Mexico City,72,953.0,123.0,27.3,34.5,22.0,15.5,2024-04-23,10:00:00
Mexico City,107,190.3,48.0,21.0,54.0,38.0,57.0,2024-04-23,09:00:00
Mexico City,75,993.0,102.0,29.7,24.5,23.5,17.5,2024-04-23,08:00:00
Mexico City,61,232.0,49.3,37.8,43.0,17.0,22.0,2024-04-23,07:00:00
Mexico City,69,282.0,50.0,39.6,62.0,21.0,23.0,2024-04-23,06:00:00
Mexico City,78,514.0,45.3,30.7,64.0,25.0,14.0,2024-04-23,05:00:00
Mexico City,65,390.0,40.7,33.4,54.7,19.0,15.7,2024-04-23,04:00:00
Mexico City,63,444.0,36.0,30.4,51.0,18.0,12.0,2024-04-23,03:00:00
Mexico City,71,454.0,27.7,32.0,96.0,18.0,11.0,2024-04-23,02:00:00
Mexico City,75,1260.0,149.0,31.1,104.0,12.0,13.0,2024-04-23,01:00:00
Mexico City,56,343.0,11.0,48.4,35.0,15.0,15.0,2024-04-23,00:00:00
Mexico City,83,993.0,97.0,55.4,120.0,19.5,15.5,2024-04-22,23:00:00
Mexico City,75,1018.0,74.0,63.4,66.5,23.5,19.0,2024-04-22,22:00:00
Mexico City,76,84.0,5.0,137.0,35.0,24.0,15.0,2024-04-22,21:00:00
Mexico City,74,423.0,5.0,60.4,50.0,23.0,13.0,2024-04-22,20:00:00
Mexico City,69,333.0,5.0,61.7,50.0,21.0,17.0,2024-04-22,19:00:00
Mexico City,59,292.0,5.0,46.2,38.0,16.0,15.0,2024-04-22,18:00:00
Mexico City,69,292.0,7.0,38.2,44.0,21.0,15.0,2024-04-22,17:00:00
Mexico City,52,292.0,9.0,30.5,43.0,13.0,14.0,2024-04-22,16:00:00
Mexico City,50,87.0,11.0,69.0,17.0,12.0,41.0,2024-04-22,15:00:00
Mexico City,54,413.0,14.3,22.7,40.0,14.0,14.0,2024-04-22,14:00:00
Mexico City,63,383.0,17.7,22.1,35.0,18.0,14.0,2024-04-22,13:00:00
Mexico City,65,262.0,21.0,27.8,33.0,19.0,14.0,2024-04-22,12:00:00
Mexico City,65,212.0,17.7,35.0,38.0,19.0,14.0,2024-04-22,11:00:00
Mexico City,54,202.0,14.3,37.7,38.0,14.0,14.0,2024-04-22,10:00:00
Mexico City,63,212.0,11.0,35.6,68.0,18.0,13.0,2024-04-22,09:00:00
Mexico City,64,232.0,15.0,34.7,80.0,18.33,14.3,2024-04-22,08:00:00
Mexico City,72,232.0,19.0,34.1,74.0,22.0,16.0,2024-04-22,07:00:00
Mexico City,75,272.0,23.0,32.9,104.0,19.0,17.0,2024-04-22,06:00:00
Mexico City,82,323.0,20.3,35.2,118.0,22.0,22.0,2024-04-22,05:00:00
Mexico City,72,504.0,17.7,39.1,82.0,22.0,13.0,2024-04-22,04:00:00
Mexico City,46,94.5,15.0,63.0,16.0,11.0,21.0,2024-04-22,03:00:00
Mexico City,80,655.0,12.7,36.4,60.0,26.0,15.0,2024-04-22,02:00:00
Mexico City,72,665.0,10.3,61.1,53.0,22.0,21.0,2024-04-22,01:00:00
Mexico City,74,474.0,8.0,65.8,44.0,23.0,16.0,2024-04-22,00:00:00
Mexico City,69,342.1,6.3,93.2,37.3,20.67,18.0,2024-04-21,23:00:00
Mexico City,80,464.0,4.7,66.6,72.0,26.0,12.0,2024-04-21,22:00:00
Mexico City,85,78.2,3.0,148.0,24.0,16.0,22.0,2024-04-21,21:00:00
Mexico City,82,393.0,3.0,69.6,70.0,27.0,16.0,2024-04-21,20:00:00
Mexico City,85,393.0,3.0,69.3,72.0,28.0,16.0,2024-04-21,19:00:00
Mexico City,87,383.0,3.0,67.1,64.0,29.0,16.0,2024-04-21,18:00:00
Mexico City,87,433.0,8.7,42.2,62.0,29.0,14.0,2024-04-21,17:00:00
Mexico City,72,413.0,14.3,32.2,60.0,22.0,13.0,2024-04-21,16:00:00
Mexico City,78,464.0,20.0,25.2,62.0,25.0,12.0,2024-04-21,15:00:00
Mexico City,72,413.3,25.3,24.8,56.0,22.0,11.7,2024-04-21,14:00:00
Mexico City,82,403.0,30.7,23.2,54.0,27.0,11.0,2024-04-21,13:00:00
Mexico City,59,312.0,36.0,24.1,44.0,16.0,11.0,2024-04-21,12:00:00
Mexico City,78,353.0,38.3,29.0,58.0,25.0,11.0,2024-04-21,11:00:00
Mexico City,78,363.0,40.7,29.1,53.0,25.0,11.0,2024-04-21,10:00:00
Mexico City,82,383.0,43.0,28.4,58.0,27.0,11.0,2024-04-21,09:00:00
Mexico City,80,430.0,48.0,29.4,56.7,25.67,11.3,2024-04-21,08:00:00
Mexico City,85,524.0,53.0,27.8,60.0,28.0,12.0,2024-04-21,07:00:00
Mexico City,74,524.0,58.0,31.4,54.0,23.0,12.0,2024-04-21,06:00:00
Mexico City,74,524.0,52.3,31.4,54.0,23.0,12.0,2024-04-21,05:00:00
Mexico City,78,504.0,46.7,33.3,54.0,25.0,9.0,2024-04-21,04:00:00
Mexico City,64,474.0,41.0,37.1,82.0,18.0,9.0,2024-04-21,03:00:00
Mexico City,68,474.0,33.3,47.7,72.0,20.33,11.0,2024-04-21,02:00:00
Mexico City,85,575.0,25.7,51.1,66.0,28.0,12.0,2024-04-21,01:00:00
Mexico City,78,474.0,18.0,68.8,52.0,25.0,15.0,2024-04-21,00:00:00
Mexico City,89,544.0,13.7,62.6,132.0,25.0,13.0,2024-04-20,23:00:00
Mexico City,80,393.0,9.3,68.6,92.0,26.0,17.0,2024-04-20,22:00:00
Tromsø,38,51.4,2.0,82.0,3.0,2.0,3.0,2024-04-23,21:00:00
Tromsø,38,51.0,76.0,83.0,7.5,6.0,2.7,2024-04-23,20:00:00
Tromsø,39,50.6,130.0,84.0,8.0,6.0,2.3,2024-04-23,19:00:00
Tromsø,39,50.2,78.0,85.0,11.0,6.0,2.0,2024-04-23,18:00:00
Tromsø,50,50.2,52.0,86.0,52.0,12.0,2.3,2024-04-23,17:00:00
Tromsø,66,50.2,15.0,87.0,44.5,19.5,2.7,2024-04-23,16:00:00
Tromsø,86,50.2,67.0,88.0,63.5,28.5,3.0,2024-04-23,15:00:00
Tromsø,87,50.2,63.0,88.0,67.0,29.0,3.0,2024-04-23,14:00:00
Tromsø,64,50.2,65.0,88.0,82.0,18.0,3.0,2024-04-23,13:00:00
Tromsø,95,50.2,228.0,88.0,85.0,33.0,3.0,2024-04-23,12:00:00
Tromsø,88,50.0,125.0,86.3,67.5,29.5,2.7,2024-04-23,11:00:00
Tromsø,75,49.8,81.0,84.7,62.0,23.5,2.3,2024-04-23,10:00:00
Tromsø,76,49.6,23.0,83.0,58.5,24.0,2.0,2024-04-23,09:00:00
Tromsø,73,49.8,82.0,81.7,49.5,22.5,1.7,2024-04-23,08:00:00
Tromsø,90,50.0,123.0,80.3,64.0,30.5,1.3,2024-04-23,07:00:00
Tromsø,62,50.2,72.0,79.0,38.5,17.5,1.0,2024-04-23,06:00:00
Tromsø,44,50.2,85.0,81.3,20.5,10.5,1.3,2024-04-23,05:00:00
Tromsø,39,50.2,74.0,83.7,19.0,8.5,1.7,2024-04-23,04:00:00
Tromsø,40,50.2,21.0,86.0,15.5,6.0,2.0,2024-04-23,03:00:00
Tromsø,40,51.0,55.0,86.3,12.0,6.5,2.0,2024-04-23,02:00:00
Tromsø,40,51.7,53.0,86.7,8.5,4.5,2.0,2024-04-23,01:00:00
Tromsø,40,52.5,109.0,87.0,24.5,9.5,2.0,2024-04-23,00:00:00
Tromsø,41,53.1,54.0,87.7,28.0,8.0,2.3,2024-04-22,23:00:00
Tromsø,50,53.7,59.0,88.3,34.0,12.0,2.7,2024-04-22,22:00:00
Tromsø,55,54.3,17.0,89.0,38.0,14.5,3.0,2024-04-22,21:00:00
Tromsø,61,54.1,87.0,89.3,50.0,17.0,2.7,2024-04-22,20:00:00
Tromsø,74,53.9,84.0,89.7,56.0,23.0,2.3,2024-04-22,19:00:00
Tromsø,180,53.7,1.0,90.0,78.0,78.0,2.0,2024-04-22,18:00:00
Tromsø,116,53.7,56.0,91.0,93.0,41.5,2.3,2024-04-22,17:00:00
Tromsø,90,53.7,59.0,92.0,84.0,30.5,2.7,2024-04-22,16:00:00
Tromsø,106,53.7,17.0,93.0,93.5,37.5,3.0,2024-04-22,15:00:00
Tromsø,119,53.9,61.0,92.7,129.0,42.5,3.0,2024-04-22,14:00:00
Tromsø,134,54.1,57.0,92.3,130.5,48.0,3.0,2024-04-22,13:00:00
Tromsø,103,54.3,89.0,92.0,98.0,36.5,3.0,2024-04-22,12:00:00
Tromsø,73,54.7,45.0,91.7,100.0,19.0,2.3,2024-04-22,11:00:00
Tromsø,100,55.1,49.0,91.3,83.5,35.0,1.7,2024-04-22,10:00:00
Tromsø,99,55.4,14.0,91.0,83.5,34.5,1.0,2024-04-22,09:00:00
Tromsø,92,55.4,56.0,89.7,83.5,31.5,1.0,2024-04-22,08:00:00
Tromsø,89,55.4,52.0,88.3,74.5,30.0,1.0,2024-04-22,07:00:00
Tromsø,50,55.4,49.0,87.0,54.0,10.0,1.0,2024-04-22,06:00:00
Tromsø,51,55.4,49.0,87.7,37.0,12.5,1.0,2024-04-22,05:00:00
Tromsø,41,55.4,18.0,88.3,11.0,7.0,1.0,2024-04-22,04:00:00
Tromsø,41,55.4,10.0,89.0,12.5,7.5,1.0,2024-04-22,03:00:00
Tromsø,41,56.0,3.0,89.0,11.5,7.0,1.0,2024-04-22,02:00:00
Tromsø,41,56.6,2.0,89.0,35.0,9.0,1.0,2024-04-22,01:00:00
Tromsø,41,57.2,3.0,89.0,34.5,6.0,1.0,2024-04-22,00:00:00
Tromsø,129,57.8,6.0,88.7,46.0,46.0,1.3,2024-04-21,23:00:00
Tromsø,55,58.4,42.0,88.3,32.5,14.5,1.7,2024-04-21,22:00:00
Tromsø,56,58.9,12.0,88.0,33.0,15.0,2.0,2024-04-21,21:00:00
Tromsø,53,58.7,61.0,88.0,32.5,13.5,2.0,2024-04-21,20:00:00
Tromsø,64,58.6,45.0,88.0,44.5,18.5,2.0,2024-04-21,19:00:00
Tromsø,62,58.4,42.0,88.0,48.0,17.5,2.0,2024-04-21,18:00:00
Tromsø,57,57.8,42.0,89.7,68.0,14.0,3.3,2024-04-21,17:00:00
Tromsø,78,57.2,39.0,91.3,69.5,25.0,4.7,2024-04-21,16:00:00
Tromsø,80,56.6,11.0,93.0,71.5,26.0,6.0,2024-04-21,15:00:00
Tromsø,85,56.2,37.0,92.7,76.5,28.0,6.0,2024-04-21,14:00:00
Tromsø,85,55.8,27.0,92.3,78.5,28.0,6.0,2024-04-21,13:00:00
Tromsø,96,55.4,27.0,92.0,86.5,33.5,6.0,2024-04-21,12:00:00
Tromsø,60,53.5,26.0,90.7,74.0,15.0,5.0,2024-04-21,11:00:00
Tromsø,75,51.6,18.0,89.3,48.5,23.5,4.0,2024-04-21,10:00:00
Tromsø,69,49.6,5.0,88.0,45.5,21.0,3.0,2024-04-21,09:00:00
Tromsø,54,49.2,18.0,85.3,31.5,14.0,2.7,2024-04-21,08:00:00
Tromsø,38,48.8,10.0,82.7,28.0,8.0,2.3,2024-04-21,07:00:00
Tromsø,51,48.4,10.0,80.0,25.0,12.5,2.0,2024-04-21,06:00:00
Tromsø,48,48.4,8.0,81.3,21.5,11.5,2.3,2024-04-21,05:00:00
Tromsø,50,48.4,10.0,82.7,21.5,12.0,2.7,2024-04-21,04:00:00
Tromsø,39,48.4,12.0,84.0,18.5,9.0,3.0,2024-04-21,03:00:00
Tromsø,46,49.8,3.0,84.3,20.5,11.0,3.7,2024-04-21,02:00:00
Tromsø,56,51.2,57.0,84.7,49.5,15.0,4.3,2024-04-21,01:00:00
Tromsø,63,52.5,57.0,85.0,80.0,16.0,5.0,2024-04-21,00:00:00
Tromsø,58,53.9,85.0,85.7,40.5,15.5,6.0,2024-04-20,23:00:00
Tromsø,57,55.2,108.0,86.3,68.0,15.0,7.0,2024-04-20,22:00:00
Cairo,89,67.7,25.0,60.0,66.0,30.0,54.0,2024-04-23,21:00:00
Cairo,118,65.4,23.0,66.3,52.5,42.0,52.3,2024-04-23,20:00:00
Cairo,98,63.0,21.0,72.7,42.5,34.0,50.7,2024-04-23,19:00:00
Cairo,110,60.7,19.0,79.0,43.0,39.0,49.0,2024-04-23,18:00:00
Cairo,149,56.2,14.3,89.3,55.0,53.5,40.7,2024-04-23,17:00:00
Cairo,142,51.7,9.7,99.7,61.8,51.0,32.3,2024-04-23,16:00:00
Cairo,152,47.3,5.0,110.0,71.3,57.0,24.0,2024-04-23,15:00:00
Cairo,145,46.3,4.0,112.7,65.0,52.0,26.0,2024-04-23,14:00:00
Cairo,142,45.3,3.0,115.3,66.0,51.0,28.0,2024-04-23,13:00:00
Cairo,142,44.4,2.0,118.0,63.0,51.0,30.0,2024-04-23,12:00:00
Cairo,156,45.1,2.3,115.3,60.0,60.0,35.0,2024-04-23,11:00:00
Cairo,211,45.9,2.7,112.7,126.3,101.0,40.0,2024-04-23,10:00:00
Cairo,85,46.7,3.0,110.0,124.0,27.0,45.0,2024-04-23,09:00:00
Cairo,208,57.0,10.3,94.3,123.8,99.0,45.0,2024-04-23,08:00:00
Cairo,165,67.3,17.7,78.7,83.8,67.0,45.0,2024-04-23,07:00:00
Cairo,157,77.6,25.0,63.0,95.0,61.0,45.0,2024-04-23,06:00:00
Cairo,130,67.9,19.3,62.3,83.0,46.5,37.3,2024-04-23,05:00:00
Cairo,69,58.2,13.7,61.7,26.3,21.0,29.7,2024-04-23,04:00:00
Cairo,82,48.4,8.0,61.0,34.0,27.0,22.0,2024-04-23,03:00:00
Cairo,61,49.0,8.3,61.0,21.3,17.0,20.3,2024-04-23,02:00:00
Cairo,61,49.6,8.7,61.0,21.3,17.0,18.7,2024-04-23,01:00:00
Cairo,61,50.2,9.0,61.0,21.3,17.0,17.0,2024-04-23,00:00:00
Cairo,65,51.0,9.7,66.3,21.0,19.0,16.7,2024-04-22,23:00:00
